un,160464,1000000
ki,119593,1000000
ap,103571,1000000
jus,74930,1000000
iv,74439,1000000
get,61884,1000000
pp,61231,1000000
dr,57642,1000000
end,55150,1000000
like,49647,1000000
eu,47714,1000000
love,46827,1000000
eat,46337,1000000
son,44842,1000000
got,39661,1000000
car,39558,1000000
ali,31551,1000000
nh,31246,1000000
see,31086,1000000
know,31080,1000000
ace,29076,1000000
hit,27976,1000000
let,27783,1000000
say,25867,1000000
think,25707,1000000
twitter,25195,1000000
vin,25117,1000000
come,24607,1000000
work,24208,1000000
want,23329,1000000
cut,22889,1000000
need,22817,1000000
look,22273,1000000
make,22165,1000000
san,21133,1000000
read,20755,1000000
try,18878,1000000
show,18178,1000000
sam,18005,1000000
live,17404,1000000
sing,17085,1000000
thank,17035,1000000
going,16691,1000000
alo,15934,1000000
die,15895,1000000
feel,15788,1000000
port,15283,1000000
call,14741,1000000
hear,14331,1000000
video,14231,1000000
put,14143,1000000
list,13736,1000000
rte,13559,1000000
take,13440,1000000
sleep,13327,1000000
anna,13108,1000000
sid,12925,1000000
start,12817,1000000
hell,12583,1000000
post,12540,1000000
tell,12444,1000000
aid,12318,1000000
bed,11789,1000000
guy,11770,1000000
run,11055,1000000
phone,10958,1000000
ask,10500,1000000
check,10346,1000000
please,10206,1000000
photo,10107,1000000
school,10102,1000000
youtube,10097,1000000
toni,10091,1000000
chris,9833,1000000
baby,9579,1000000
watching,9428,1000000
mari,9409,1000000
give,9199,1000000
kay,9084,1000000
land,9049,1000000
set,9041,1000000
name,8919,1000000
keep,8662,1000000
stop,8523,1000000
god,8299,1000000
iii,8290,1000000
elle,8263,1000000
tonight,8154,1000000
said,8078,1000000
help,7843,1000000
lack,7740,1000000
care,7555,1000000
made,7410,1000000
find,7330,1000000
house,7177,1000000
plan,7175,1000000
getting,7092,1000000
sil,6913,1000000
turn,6837,1000000
ella,6800,1000000
money,6797,1000000
ngo,6629,1000000
sent,6555,1000000
break,6540,1000000
dig,6529,1000000
rdi,6337,1000000
ward,6141,1000000
flo,5977,1000000
view,5918,1000000
person,5913,1000000
vil,5743,1000000
dal,5675,1000000
rue,5627,1000000
happen,5487,1000000
team,5282,1000000
john,5263,1000000
coming,5223,1000000
came,5109,1000000
maybe,5094,1000000
looking,5064,1000000
stand,5063,1000000
sama,5001,1000000
stay,4981,1000000
took,4918,1000000
rend,4882,1000000
send,4844,1000000
fall,4828,1000000
saw,4787,1000000
used,4759,1000000
mina,4699,1000000
place,4609,1000000
buy,4600,1000000
city,4570,1000000
open,4517,1000000
trying,4458,1000000
nothing,4427,1000000
went,4367,1000000
pap,4338,1000000
found,4315,1000000
lost,4274,1000000
dead,4117,1000000
meet,4107,1000000
walk,4069,1000000
facebook,4041,1000000
seen,4040,1000000
adr,4025,1000000
food,3992,1000000
believe,3950,1000000
working,3903,1000000
left,3828,1000000
nfi,3808,1000000
move,3757,1000000
making,3723,1000000
quan,3671,1000000
fire,3671,1000000
feeling,3659,1000000
media,3630,1000000
talking,3599,1000000
radio,3557,1000000
family,3535,1000000
listening,3522,1000000
wrong,3518,1000000
using,3460,1000000
sick,3450,1000000
pou,3421,1000000
bring,3398,1000000
told,3389,1000000
leave,3317,1000000
brother,3254,1000000
drink,3253,1000000
kids,3217,1000000
thinking,3199,1000000
fort,3181,1000000
gina,3169,1000000
road,3125,1000000
heard,3110,1000000
eating,3064,1000000
prince,3052,1000000
update,3045,1000000
merc,3036,1000000
hurt,2997,1000000
kick,2988,1000000
drive,2986,1000000
cite,2975,1000000
paul,2975,1000000
christian,2956,1000000
jak,2951,1000000
gone,2948,1000000
called,2942,1000000
nico,2929,1000000
health,2896,1000000
wake,2861,1000000
support,2859,1000000
rice,2845,1000000
saying,2775,1000000
started,2751,1000000
town,2700,1000000
pois,2641,1000000
rose,2639,1000000
waiting,2612,1000000
excited,2591,1000000
vert,2586,1000000
following,2560,1000000
save,2513,1000000
maria,2512,1000000
cell,2480,1000000
assist,2441,1000000
pray,2434,1000000
store,2382,1000000
clean,2367,1000000
speak,2362,1000000
water,2353,1000000
wanted,2352,1000000
pam,2346,1000000
welcome,2333,1000000
visit,2314,1000000
search,2313,1000000
email,2295,1000000
american,2271,1000000
report,2261,1000000
taking,2252,1000000
street,2233,1000000
jeff,2231,1000000
fab,2205,1000000
oil,2187,1000000
loved,2177,1000000
college,2172,1000000
missed,2159,1000000
south,2143,1000000
serve,2137,1000000
sister,2126,1000000
posted,2119,1000000
catch,2097,1000000
lui,2067,1000000
front,2050,1000000
carol,2046,1000000
note,2040,1000000
marie,2007,1000000
understand,2003,1000000
entre,2002,1000000
outside,2001,1000000
wife,2001,1000000
solution,1977,1000000
group,1976,1000000
burn,1971,1000000
shoot,1967,1000000
starting,1918,1000000
host,1917,1000000
bank,1870,1000000
merci,1864,1000000
ville,1861,1000000
leon,1841,1000000
martin,1828,1000000
begin,1824,1000000
avis,1802,1000000
respond,1795,1000000
blood,1793,1000000
lisa,1783,1000000
finished,1781,1000000
quick,1762,1000000
mother,1744,1000000
wash,1726,1000000
jean,1726,1000000
figure,1713,1000000
stream,1703,1000000
clear,1697,1000000
fell,1696,1000000
james,1679,1000000
wearing,1643,1000000
pull,1642,1000000
expect,1642,1000000
gave,1641,1000000
irin,1641,1000000
message,1617,1000000
inside,1617,1000000
click,1614,1000000
happened,1607,1000000
forward,1590,1000000
giving,1577,1000000
north,1566,1000000
writing,1563,1000000
return,1560,1000000
mary,1559,1000000
quiero,1558,1000000
tried,1551,1000000
become,1542,1000000
mobile,1519,1000000
living,1516,1000000
running,1515,1000000
source,1495,1000000
national,1490,1000000
reach,1481,1000000
exist,1467,1000000
loaded,1455,1000000
pier,1445,1000000
seeing,1394,1000000
mere,1388,1000000
mars,1386,1000000
map,1385,1000000
feed,1376,1000000
field,1365,1000000
gracias,1350,1000000
onu,1346,1000000
important,1341,1000000
william,1316,1000000
sleeping,1296,1000000
treat,1293,1000000
offer,1290,1000000
hotel,1287,1000000
stress,1281,1000000
reside,1277,1000000
taba,1276,1000000
jose,1265,1000000
missing,1261,1000000
michel,1248,1000000
grande,1223,1000000
consider,1211,1000000
vite,1207,1000000
cared,1207,1000000
